Category,Difference,Observed Frequency,pValue,Cumulative
Standard Deviation,12.84,7,0.0006121556624398776,0.1268036729339748
Standard Deviation,12.85,15,0.0013117621337997377,0.1261915172715349
Standard Deviation,12.86,8,0.0006996064713598601,0.12487975513773518
Standard Deviation,12.87,8,0.0006996064713598601,0.12418014866637532
Standard Deviation,12.88,10,0.0008745080891998251,0.12348054219501546
Standard Deviation,12.89,14,0.001224311324879755,0.12260603410581564
Standard Deviation,12.9,2,0.00017490161783996502,0.12138172278093588
Standard Deviation,12.91,7,0.0006121556624398776,0.12120682116309592
Standard Deviation,12.92,15,0.0013117621337997377,0.12059466550065603
Standard Deviation,12.93,3,0.0002623524267599475,0.11928290336685629
Standard Deviation,12.94,7,0.0006121556624398776,0.11902055094009634
Standard Deviation,12.95,15,0.0013117621337997377,0.11840839527765645
Standard Deviation,12.96,10,0.0008745080891998251,0.11709663314385671
Standard Deviation,12.97,13,0.0011368605159597727,0.11622212505465689
Standard Deviation,12.98,14,0.001224311324879755,0.11508526453869711
Standard Deviation,12.99,9,0.0007870572802798426,0.11386095321381735
Standard Deviation,13.0,15,0.0013117621337997377,0.1130738959335375
Standard Deviation,13.01,13,0.0011368605159597727,0.11176213379973776
Standard Deviation,13.02,7,0.0006121556624398776,0.11062527328377798
Standard Deviation,13.03,20,0.0017490161783996502,0.1100131176213381
Standard Deviation,13.04,10,0.0008745080891998251,0.10826410144293845
Standard Deviation,13.05,9,0.0007870572802798426,0.10738959335373863
Standard Deviation,13.06,17,0.0014866637516397026,0.10660253607345878
Standard Deviation,13.07,7,0.0006121556624398776,0.10511587232181907
Standard Deviation,13.08,21,0.0018364669873196327,0.10450371665937919
Standard Deviation,13.09,16,0.0013992129427197202,0.10266724967205955
Standard Deviation,13.1,4,0.00034980323567993004,0.10126803672933983
Standard Deviation,13.11,25,0.0021862702229995625,0.1009182334936599
Standard Deviation,13.12,13,0.0011368605159597727,0.09873196327066033
Standard Deviation,13.13,3,0.0002623524267599475,0.09759510275470056
Standard Deviation,13.14,10,0.0008745080891998251,0.0973327503279406
Standard Deviation,13.15,7,0.0006121556624398776,0.09645824223874078
Standard Deviation,13.16,7,0.0006121556624398776,0.09584608657630089
Standard Deviation,13.17,14,0.001224311324879755,0.09523393091386101
Standard Deviation,13.18,22,0.0019239177962396153,0.09400961958898126
Standard Deviation,13.19,3,0.0002623524267599475,0.09208570179274164
Standard Deviation,13.2,9,0.0007870572802798426,0.09182334936598169
Standard Deviation,13.21,7,0.0006121556624398776,0.09103629208570184
Standard Deviation,13.22,9,0.0007870572802798426,0.09042413642326196
Standard Deviation,13.23,18,0.0015741145605596852,0.0896370791429821
Standard Deviation,13.24,9,0.0007870572802798426,0.08806296458242242
Standard Deviation,13.25,8,0.0006996064713598601,0.08727590730214257
Standard Deviation,13.26,10,0.0008745080891998251,0.08657630083078272
Standard Deviation,13.27,9,0.0007870572802798426,0.08570179274158289
Standard Deviation,13.28,11,0.0009619588981198076,0.08491473546130304
Standard Deviation,13.29,8,0.0006996064713598601,0.08395277656318323
Standard Deviation,13.3,11,0.0009619588981198076,0.08325317009182337
Standard Deviation,13.31,15,0.0013117621337997377,0.08229121119370356
Standard Deviation,13.32,6,0.000524704853519895,0.08097944905990381
