Category,Difference,Observed Frequency,pValue,Cumulative
Standard Deviation,15.89,3,0.002510460251046025,0.3615062761506301
Standard Deviation,15.9,2,0.0016736401673640166,0.3631799163179941
Standard Deviation,15.91,1,0.0008368200836820083,0.36401673640167614
Standard Deviation,15.93,2,0.0016736401673640166,0.3656903765690402
Standard Deviation,15.94,1,0.0008368200836820083,0.3665271966527222
Standard Deviation,15.96,1,0.0008368200836820083,0.36736401673640423
Standard Deviation,15.97,2,0.0016736401673640166,0.3690376569037683
Standard Deviation,15.99,2,0.0016736401673640166,0.3707112970711323
Standard Deviation,16.02,1,0.0008368200836820083,0.37154811715481434
Standard Deviation,16.03,1,0.0008368200836820083,0.37238493723849636
Standard Deviation,16.04,2,0.0016736401673640166,0.3740585774058604
Standard Deviation,16.07,1,0.0008368200836820083,0.3748953974895424
Standard Deviation,16.09,2,0.0016736401673640166,0.37656903765690647
Standard Deviation,16.12,1,0.0008368200836820083,0.3774058577405885
Standard Deviation,16.13,1,0.0008368200836820083,0.3782426778242705
Standard Deviation,16.16,1,0.0008368200836820083,0.37907949790795253
Standard Deviation,16.18,1,0.0008368200836820083,0.37991631799163456
Standard Deviation,16.2,2,0.0016736401673640166,0.3815899581589986
Standard Deviation,16.21,1,0.0008368200836820083,0.3824267782426806
Standard Deviation,16.23,2,0.0016736401673640166,0.38410041841004466
Standard Deviation,16.26,1,0.0008368200836820083,0.3849372384937267
Standard Deviation,16.27,1,0.0008368200836820083,0.3857740585774087
Standard Deviation,16.28,2,0.0016736401673640166,0.38744769874477275
Standard Deviation,16.29,2,0.0016736401673640166,0.3891213389121368
Standard Deviation,16.3,1,0.0008368200836820083,0.3899581589958188
Standard Deviation,16.31,4,0.0033472803347280333,0.39330543933054685
Standard Deviation,16.33,2,0.0016736401673640166,0.3949790794979109
Standard Deviation,16.36,1,0.0008368200836820083,0.3958158995815929
Standard Deviation,16.37,2,0.0016736401673640166,0.39748953974895695
Standard Deviation,16.4,1,0.0008368200836820083,0.398326359832639
Standard Deviation,16.41,1,0.0008368200836820083,0.399163179916321
Standard Deviation,16.43,1,0.0008368200836820083,0.400000000000003
Standard Deviation,16.45,1,0.0008368200836820083,0.40083682008368504
Standard Deviation,16.47,1,0.0008368200836820083,0.40167364016736706
Standard Deviation,16.48,2,0.0016736401673640166,0.4033472803347311
