11399,15,20,21,25,33
11398,4,5,24,31,34
11397,5,10,18,19,30
11396,4,8,13,19,26
11395,20,25,29,35,36
11394,4,6,25,31,33
11393,4,5,6,18,21
11392,6,8,21,23,26
11391,11,15,32,33,36
11390,3,13,19,21,36
11389,6,9,19,32,39
11388,4,19,21,26,29
11387,6,20,22,30,39
11386,16,24,29,32,36
11385,4,10,23,26,34
11384,7,10,14,25,38
11383,5,25,34,36,39
11382,11,15,17,22,35
11381,15,23,25,26,32
11380,3,6,7,19,34
11379,4,9,11,22,39
11378,3,14,21,37,39
11377,8,13,32,33,37
11376,2,9,14,33,39
11375,2,6,21,24,39
11374,20,21,24,29,37
11373,14,18,24,28,33
11372,1,4,18,19,33
11371,7,14,34,35,39
11370,5,20,30,36,37
11369,4,20,27,28,32
11368,10,24,25,35,38
11367,6,12,15,18,35
11366,1,11,14,32,39
11365,2,10,13,19,25
11364,10,14,27,29,35
11363,5,13,20,33,34
11362,6,7,9,10,18
11361,10,19,24,26,33
11360,2,5,6,18,32
11359,9,15,16,30,36
11358,8,18,21,28,37
11357,12,20,21,25,31
11356,2,7,8,21,33
11355,4,6,7,13,32
11354,2,9,11,25,29
11353,6,11,17,26,39
11352,1,4,11,13,35
11351,7,14,16,19,26
11350,4,6,9,34,35
11349,2,3,22,25,28
11348,9,11,31,33,35
11347,15,16,20,32,37
11346,20,22,25,29,36
11345,9,19,27,32,36
11344,3,10,12,29,33
11343,3,6,15,20,31
11342,1,6,10,14,20
11341,3,5,17,26,37
11340,2,14,25,26,34
11339,1,7,10,11,24
11338,1,6,21,27,33
11337,22,24,29,35,38
11336,23,27,28,36,39
11335,12,16,24,25,39
11334,2,11,22,31,39
11333,23,32,35,36,38
11332,11,13,19,21,34
11331,11,16,20,22,26
11330,6,10,14,26,29
11329,3,5,15,21,28
11328,7,10,29,30,34
11327,1,7,11,25,28
11326,15,16,18,28,36
11325,3,15,32,33,37
11324,6,8,10,15,24
11323,1,11,12,32,39
11322,18,21,23,29,32
11321,10,16,26,29,36
11320,2,3,11,33,35
11319,2,5,12,28,37
11318,6,8,24,27,36
