6615,9,22,30,31,37
6614,6,8,11,15,24
6613,3,4,7,30,34
6612,5,10,19,28,38
6611,3,4,18,34,38
6610,16,21,30,31,38
6609,11,22,32,38,40
6608,8,13,17,26,30
6607,2,5,7,8,39
6606,8,9,25,36,37
6605,8,17,25,32,41
6604,3,4,29,32,38
6603,2,14,19,24,27
6602,4,7,10,20,30
6601,4,7,13,19,38
6600,6,17,19,37,42
6599,1,6,8,10,29
6598,3,21,22,33,36
6597,6,27,29,37,39
6596,9,12,22,34,41
6595,10,18,20,26,30
6594,1,3,34,38,42
6593,8,10,23,28,29
6592,6,7,8,24,37
6591,2,3,10,15,34
6590,12,20,25,33,36
6589,3,9,18,25,35
6588,3,8,9,20,41
6587,11,27,34,39,42
6586,4,6,18,28,40
6585,3,4,6,8,35
6584,3,14,25,37,38
6583,15,26,29,38,40
6582,10,11,15,27,35
6581,3,6,13,32,37
6580,7,19,28,32,42
6579,11,12,25,37,39
6578,10,12,18,32,35
6577,18,20,21,24,31
6576,1,10,18,29,36
6575,12,20,32,38,39
6574,8,10,19,27,37
6573,10,13,22,31,35
6572,5,7,15,16,20
6571,6,16,23,27,41
6570,14,15,16,19,33
6569,1,3,11,13,18
6568,2,10,20,27,39
6567,19,23,25,28,31
6566,10,28,37,38,40
6565,1,8,15,28,41
6564,8,22,23,34,37
6563,1,17,18,20,31
6562,5,7,20,30,33
6561,3,11,21,22,28
6560,7,19,23,29,34
6559,2,20,34,37,40
6558,9,14,20,37,41
6557,4,14,21,22,37
6556,17,33,35,37,38
6555,12,24,32,36,37
6554,6,10,28,29,41
6553,2,6,13,15,38
6552,22,23,34,35,36
6551,3,6,15,30,42
6550,3,16,24,34,35
6549,5,22,26,27,39
6548,14,17,27,28,37
6547,5,15,24,39,41
6546,3,6,16,34,41
6545,3,19,28,34,39
6544,4,13,19,27,39
6543,5,8,31,40,41
6542,1,14,21,31,36
6541,2,6,7,9,29
6540,3,22,27,28,31
6539,10,21,24,28,38
6538,3,7,17,32,39
6537,1,4,11,14,27
6536,5,9,24,28,32
6535,3,9,13,31,38
6534,12,16,19,20,38
6533,22,26,28,33,41
6532,1,3,10,24,25
6531,5,10,14,18,33
6530,6,8,13,15,33
6529,1,20,24,30,35
6528,7,8,30,35,37
6527,11,17,34,35,37
6526,4,10,11,27,31
6525,6,10,15,21,27
6524,7,13,24,32,36
6523,3,5,10,25,27
6522,2,9,10,20,32
6521,5,12,30,31,39
6520,2,18,23,25,34
6519,5,11,14,21,40
6518,4,11,25,34,35
6517,1,14,32,36,41
6516,3,8,17,33,42
6515,4,16,31,33,38
6514,3,20,28,36,40
6513,3,11,17,18,35
6512,1,2,5,27,40
6511,9,15,29,31,41
6510,2,12,15,38,40
6509,6,8,12,28,38
6508,3,8,15,25,31
6507,9,13,15,16,39
6506,10,13,27,37,40
6505,13,22,31,32,41
6504,6,7,16,17,32
6503,2,25,30,37,41
6502,2,8,10,15,42
6501,1,3,16,25,39
6500,2,4,5,12,32
6499,5,13,19,23,36
6498,1,13,25,33,35
6497,6,21,26,32,37
6496,1,5,11,20,35
6495,7,11,16,28,39
6494,5,16,17,18,27
6493,14,19,23,25,42
6492,16,25,38,39,42
6491,16,18,22,36,41
6490,3,11,15,20,24
6489,10,11,24,28,38
6488,8,13,24,30,36
6487,2,3,27,33,40
6486,1,11,12,29,31
6485,3,7,16,18,26
6484,2,4,9,38,39
6483,13,14,15,18,35
6482,13,14,24,25,31
6481,9,20,30,34,38
6480,2,10,14,28,38
6479,2,8,9,14,35
6478,9,14,18,30,40
6477,1,5,8,36,39
6476,3,15,17,19,35
6475,15,21,23,29,33
6474,3,8,26,27,31
6473,5,8,24,26,29
6472,12,29,32,33,40
6471,13,23,28,38,40
6470,7,8,17,20,23
6469,12,16,22,24,32
6468,5,13,16,27,29
6467,9,14,22,24,35
6466,3,15,18,21,37
6465,18,32,36,38,42
6464,7,10,17,27,35
6463,12,20,26,33,42
6462,2,13,15,37,40
6461,9,24,25,34,35
6460,9,12,13,33,34
6459,6,23,24,30,39
6458,3,7,8,28,31
6457,5,16,32,36,40
6456,3,14,19,23,29
6455,7,10,13,17,33
6454,2,15,25,28,29
6453,2,23,32,38,40
6452,17,22,24,27,30
6451,15,25,28,29,41
6450,2,6,10,12,15
6449,14,15,17,28,37
6448,1,11,27,28,35
6447,7,10,29,30,31
6446,21,27,29,30,32
6445,8,10,14,28,35
6444,2,3,5,8,13
6443,6,13,15,19,28
6442,11,16,17,19,39
6441,14,18,23,28,35
6440,10,17,18,34,35
6439,5,14,19,24,38
6438,1,12,19,31,38
6437,4,6,16,28,29
6436,9,28,32,33,41
6435,1,22,31,37,41
6434,11,19,23,32,39
6433,4,21,29,34,41
6432,7,13,22,26,36
6431,13,23,26,41,42
6430,4,24,26,32,42
6429,13,15,18,24,32
6428,10,15,20,34,39
6427,4,13,27,36,37
6426,6,9,25,26,31
6425,2,12,19,25,32
6424,8,13,27,33,42
6423,5,15,27,40,41
6422,2,23,25,30,37
6421,10,11,14,19,31
6420,8,13,24,30,35
6419,18,19,26,33,42
6418,5,18,20,35,38
6417,4,11,14,37,39
6416,1,3,24,36,41
6415,7,14,15,28,39
6414,1,24,27,31,37
6413,12,13,16,18,37
6412,1,2,28,30,40
6411,3,11,16,26,32
6410,1,7,8,9,18
6409,7,19,31,40,41
6408,1,15,29,31,42
6407,2,12,15,28,31
6406,1,11,23,27,30
6405,9,14,20,34,41
6404,2,5,21,29,39
6403,18,23,25,31,34
6402,1,15,21,23,27
6401,7,16,23,28,42
6400,26,28,29,36,41
6399,1,8,16,28,32
6398,3,14,17,26,42
6397,15,28,33,38,40
6396,6,17,21,28,33
6395,7,8,20,23,25
6394,5,12,30,37,40
6393,13,23,28,31,35
6392,10,13,25,37,41
6391,4,18,30,32,40
6390,7,14,16,32,36
6389,13,14,26,38,40
6388,5,12,17,18,26
6387,19,21,27,31,33
6386,9,10,14,28,32
6385,8,9,17,21,30
6384,1,7,12,13,41
6383,1,3,12,32,42
6382,8,20,24,28,29
6381,4,12,25,27,33
6380,4,18,28,31,32
6379,3,11,14,29,38
6378,9,20,30,32,41
6377,17,29,35,36,41
6376,24,25,28,33,36
6375,3,19,20,33,41
6374,21,34,37,39,41
6373,2,4,17,22,41
6372,3,7,28,34,35
6371,10,19,23,38,40
6370,9,14,27,33,38
6369,22,28,30,32,39
6368,7,19,22,31,41
6367,8,19,32,39,42
6366,4,5,30,34,39
6365,7,8,16,21,23
6364,1,6,10,13,20
6363,21,22,27,38,39
6362,15,21,27,40,41
6361,9,11,14,24,40
6360,3,11,19,21,36
6359,3,5,17,23,34
6358,3,4,15,16,17
6357,1,9,11,22,34
6356,4,14,20,32,33
6355,2,16,29,33,34
6354,1,2,4,8,16
6353,1,3,9,17,19
6352,1,8,15,16,20
6351,23,32,36,37,38
6350,10,16,36,37,39
6349,1,7,8,28,33
6348,16,24,37,39,41
6347,11,12,17,19,25
6346,15,30,36,37,38
6345,9,30,32,41,42
6344,5,9,10,13,14
6343,10,13,24,25,30
6342,14,22,25,26,39
6341,14,15,16,18,24
6340,10,15,16,27,37
6339,9,22,33,36,38
6338,15,17,30,32,36
6337,5,6,21,24,34
6336,13,14,17,21,35
6335,1,6,7,12,14
6334,12,13,14,30,32
6333,3,5,13,21,38
6332,2,14,28,37,42
6331,23,26,33,39,40
6330,1,10,12,28,41
6329,8,14,22,30,33
6328,2,9,12,17,21
6327,11,15,24,27,38
6326,2,18,19,23,41
6325,11,13,22,25,31
6324,7,12,20,26,27
6323,8,18,25,26,33
6322,15,21,26,30,32
6321,5,6,18,27,40
6320,20,32,35,36,40
6319,4,20,34,39,42
6318,14,16,19,37,38
6317,13,16,25,39,40
6316,7,24,25,36,40
6315,6,12,22,35,38
6314,3,4,9,30,39
6313,23,27,29,31,33
6312,2,10,13,26,30
6311,6,14,19,21,27
6310,9,29,33,34,39
6309,6,7,18,23,39
6308,6,19,21,25,40
6307,7,13,15,21,33
6306,10,21,34,35,41
6305,23,25,36,40,42
6304,7,11,15,21,22
6303,2,29,34,35,40
6302,25,36,37,39,41
6301,3,4,9,26,28
6300,5,8,35,36,39
6299,20,21,24,28,35
6298,3,17,19,25,31
6297,17,18,23,41,42
6296,8,19,23,25,33
6295,12,25,33,35,37
6294,4,11,28,33,37
6293,1,9,16,20,28
6292,6,14,21,32,41
6291,11,17,21,37,42
6290,1,3,24,31,38
6289,6,7,8,22,26
6288,22,25,33,34,37
6287,5,14,17,25,35
6286,3,9,11,12,19
6285,6,21,24,26,37
6284,15,19,20,31,39
6283,4,13,19,32,34
6282,1,12,27,29,37
6281,5,34,38,40,42
6280,13,15,23,32,34
6279,3,14,17,24,36
6278,8,17,19,26,38
6277,1,20,31,36,40
6276,9,13,17,24,30
6275,4,21,27,28,38
6274,2,6,29,35,37
6273,1,18,23,25,36
6272,8,13,23,25,34
6271,14,17,31,34,38
6270,2,9,15,31,42
6269,6,11,25,36,37
6268,3,4,5,28,36
6267,13,16,19,23,27
6266,3,16,19,23,41
6265,10,12,17,19,39
6264,7,11,29,34,35
6263,8,9,13,19,34
6262,5,9,15,34,37
6261,2,27,34,36,39
6260,5,6,9,12,40
6259,1,15,30,36,39
6258,1,4,19,23,40
6257,9,28,29,37,41
6256,3,17,18,21,26
6255,3,5,14,31,37
6254,6,24,29,36,39
6253,17,21,25,28,38
6252,1,16,29,37,42
6251,15,21,23,31,36
6250,10,19,20,32,42
