Category,Difference,pValue,Cumulative P-Value,Observed Frequency,Points
Center 9 Top - Bottom,13,0.00082020,0.00149010,8202,671
Center 9 Top - Bottom,14,0.00038360,0.00066990,3836,1493
Center 9 Top - Bottom,15,0.00017170,0.00028630,1717,3493
Center 9 Top - Bottom,16,0.00007290,0.00011460,729,8726
Center 9 Top - Bottom,17,0.00002800,0.00004170,280,23981
Center 9 Top - Bottom,18,0.00000920,0.00001370,92,72993
Center 9 Top - Bottom,19,0.00000330,0.00000450,33,222222
Center 9 Top - Bottom,20,0.00000100,0.00000120,10,833333
Center 9 Top - Bottom,21,0.00000010,0.00000020,1,5000000
Center 9 Top - Bottom,25,0.00000010,0.00000010,1,10000000
Center Bottom,0,0.00003760,0.00003760,376,26596
Center Bottom,1,0.00041360,0.00045120,4136,2216
Center Bottom,2,0.00232990,0.00278110,23299,360
Center Bottom,3,0.00873320,0.01151430,87332,87
Center Bottom,4,0.02362590,0.03514020,236259,28
Center Bottom,5,0.05001930,0.08515950,500193,12
Center Bottom,6,0.08540820,0.17056770,854082,6
Center Bottom,7,0.12119390,0.29176160,1211939,3
Center Bottom,8,0.14557560,0.43733720,1455756,2
Center Bottom,9,0.15079940,0.58813660,1507994,2
Center Bottom,10,0.13570450,0.72384110,1357045,1
Center Bottom,11,0.10723300,0.83107410,1072330,1
Center Bottom,12,0.07486210,0.90593620,748621,1
Center Bottom,13,0.04640290,0.09406380,464029,11
Center Bottom,14,0.02570190,0.04766090,257019,21
Center Bottom,15,0.01276220,0.02195900,127622,46
Center Bottom,16,0.00569240,0.00919680,56924,109
Center Bottom,17,0.00229850,0.00350440,22985,285
Center Bottom,18,0.00082850,0.00120590,8285,829
Center Bottom,19,0.00026600,0.00037740,2660,2650
Center Bottom,20,0.00008070,0.00011140,807,8977
Center Bottom,21,0.00002270,0.00003070,227,32573
Center Bottom,22,0.00000660,0.00000800,66,125000
Center Bottom,23,0.00000120,0.00000140,12,714286
Center Bottom,24,0.00000010,0.00000020,1,5000000
Center Bottom,26,0.00000010,0.00000010,1,10000000
Center Top,0,0.00003400,0.00003400,340,29412
Center Top,1,0.00041400,0.00044800,4140,2232
Center Top,2,0.00233500,0.00278300,23350,359
Center Top,3,0.00870680,0.01148980,87068,87
Center Top,4,0.02365900,0.03514880,236590,28
Center Top,5,0.05003570,0.08518450,500357,12
Center Top,6,0.08545670,0.17064120,854567,6
Center Top,7,0.12123300,0.29187420,1212330,3
Center Top,8,0.14591460,0.43778880,1459146,2
Center Top,9,0.15070210,0.58849090,1507021,2
Center Top,10,0.13557000,0.72406090,1355700,1
Center Top,11,0.10694630,0.83100720,1069463,1
Center Top,12,0.07481640,0.90582360,748164,1
Center Top,13,0.04645410,0.09417640,464541,11
Center Top,14,0.02569480,0.04772230,256948,21
Center Top,15,0.01282540,0.02202750,128254,45
Center Top,16,0.00570400,0.00920210,57040,109
Center Top,17,0.00229070,0.00349810,22907,286
Center Top,18,0.00082550,0.00120740,8255,828
Center Top,19,0.00027470,0.00038190,2747,2618
Center Top,20,0.00007760,0.00010720,776,9328
Center Top,21,0.00002330,0.00002960,233,33784
Center Top,22,0.00000440,0.00000630,44,158730
Center Top,23,0.00000170,0.00000190,17,526316
Center Top,25,0.00000020,0.00000020,2,5000000
Density (Top 5 Sum),9,0.00000030,0.00000030,3,3333333
Density (Top 5 Sum),10,0.01436000,0.01436030,143600,70
Density (Top 5 Sum),11,0.06993320,0.08429350,699332,12
Density (Top 5 Sum),12,0.15811350,0.24240700,1581135,4
Density (Top 5 Sum),13,0.22312720,0.46553420,2231272,2
