#,6,21,33,16,4,23,35,14,2,0,28,9,26,30,11,7,20,32,17,5,22,34,15,3,24,36,13,1,37,27,10,25,29,12,8,19,31,18
51,,1,,,,,2,2,1,,1,1,1,2,1,1,1,2,1,1,,,3,1,1,2,1,2,1,,,1,1,1,,2,2,2
52,1,1,1,,,,,,2,,,1,2,3,2,,,,,1,1,3,1,,,3,2,,1,4,3,1,,,,1,4,
53,2,1,2,1,,1,,2,1,,1,1,,1,1,,1,3,,,1,1,3,2,2,3,,1,,1,,1,2,,,,1,2
54,1,1,1,3,,2,,,,2,1,,,2,,1,1,1,1,1,2,,1,2,3,2,,,1,1,1,1,,1,3,,1,1
55,2,1,2,3,3,1,,,2,,,2,2,2,1,,,,,2,,1,2,1,1,1,1,1,,,1,1,,,,1,3,1
56,3,,1,1,1,1,2,,1,1,1,1,2,3,1,2,,,2,,1,1,1,,1,1,1,1,1,,2,,1,,3,,1,
57,2,,2,1,1,3,1,,,,3,,,,,1,1,,,2,,1,2,1,,,1,,2,1,2,3,1,2,,2,1,2
58,2,1,2,2,1,1,2,,1,1,2,2,2,,,2,1,1,2,,,1,,,1,,1,1,1,1,1,1,,1,3,1,,
59,,3,,4,,1,2,2,1,2,1,2,,,1,1,2,1,1,1,,,1,1,3,2,1,3,,1,,,,,,,,1
60,,2,,,,,2,,,,1,1,3,3,3,1,,3,1,4,,1,,,,,,1,,3,3,,1,1,1,1,,2
61,1,2,,,1,3,1,2,,2,3,1,1,,,,1,,,2,1,,,1,1,2,2,2,,3,,,3,1,1,1,,
62,2,,1,,,2,1,,1,,1,,1,1,2,1,2,,1,1,,2,1,1,,2,,4,,,2,,2,1,3,1,1,1
63,,2,,1,,,1,1,1,3,,1,1,,2,1,1,2,2,3,1,1,,,,,4,,2,2,1,,1,,1,1,2,
64,,1,2,1,,2,2,1,,1,,,2,,1,2,1,,,,1,3,2,2,2,,1,2,,,,,3,,1,2,2,1
65,,1,1,3,1,1,2,1,,,,2,,1,3,,,2,,2,,1,2,1,1,,2,,1,,1,2,,2,2,1,,2
66,,3,,,,,1,1,4,,1,,,,1,1,,1,2,3,3,1,,1,1,2,2,,1,,,,,3,3,1,1,1
67,1,,2,1,1,3,1,1,,2,,1,,1,2,,1,1,1,,2,,1,2,1,3,,1,1,,2,2,1,,,,1,2
68,1,,5,,,1,,1,4,,,2,3,,1,2,3,,1,1,,1,1,2,1,,,,1,2,,,,1,1,1,,2
69,4,,,,2,2,,,1,3,3,,1,1,1,1,3,,2,2,1,,2,,,2,,1,1,1,,,2,1,,,1,
70,1,1,1,2,2,,2,2,3,,,,3,,1,,,,2,,,1,1,,3,1,,3,2,,2,2,,,,,1,2
71,2,1,1,2,1,,,2,2,,3,1,,2,1,1,,,,,1,,,1,,1,5,,1,1,2,1,1,1,2,,1,1
72,2,2,,,1,2,1,1,,3,1,2,,1,,,,,2,2,,2,,,1,1,2,1,,4,2,2,,,1,1,1,
