Category,Value,Frequency,P-Value,Cumulative P
Sum,44,8,0.0007004027315706532,0.009280336193311154
Sum,45,14,0.001225704780248643,0.010506040973559796
Sum,46,12,0.0010506040973559797,0.011556645070915776
Sum,47,17,0.0014883558045876379,0.013045000875503414
Sum,48,25,0.0021887585361582912,0.015233759411661706
Sum,49,23,0.0020136578532656277,0.017247417264927335
Sum,50,21,0.0018385571703729644,0.019085974435300298
Sum,51,29,0.0025389599019436174,0.021624934337243915
Sum,52,20,0.001751006828926633,0.023375941166170547
Sum,53,26,0.0022763088776046225,0.025652250043775172
Sum,54,29,0.0025389599019436174,0.02819120994571879
Sum,55,41,0.003589563999299597,0.03178077394501839
Sum,56,33,0.002889161267728944,0.03466993521274733
Sum,57,47,0.004114866047977587,0.038784801260724915
Sum,58,46,0.0040273157065312554,0.042812116967256175
Sum,59,39,0.003414463316406934,0.0462265802836631
Sum,60,52,0.004552617755209245,0.050779198038872354
Sum,61,59,0.0051654701453335665,0.05594466818420592
Sum,62,64,0.005603221852565225,0.06154789003677114
Sum,63,68,0.005953423218350551,0.0675013132551217
Sum,64,69,0.006040973559796883,0.07354228681491858
Sum,65,62,0.005428121169672562,0.07897040798459114
Sum,66,74,0.006478725267028541,0.08544913325161968
Sum,67,83,0.007266678340045526,0.09271581159166521
Sum,68,85,0.0074417790229381895,0.1001575906146034
Sum,69,123,0.010768691997898792,0.11092628261250219
Sum,70,88,0.007704430047277185,0.11863071265977937
Sum,71,74,0.006478725267028541,0.12510943792680793
Sum,72,92,0.008054631413062511,0.13316406933987043
Sum,73,109,0.009542987217650149,0.14270705655752058
Sum,74,125,0.010943792680791455,0.15365084923831204
Sum,75,105,0.009192785851864822,0.16284363509017685
Sum,76,115,0.01006828926632814,0.172911924356505
Sum,77,129,0.011293994046576782,0.18420591840308176
Sum,78,108,0.009455436876203817,0.1936613552792856
Sum,79,125,0.010943792680791455,0.20460514796007703
Sum,80,139,0.012169497461040098,0.21677464542111713
Sum,81,135,0.011819296095254771,0.2285939415163719
Sum,82,146,0.01278234985116442,0.24137629136753633
Sum,83,167,0.014620907021537384,0.2559971983890737
Sum,84,163,0.014270705655752057,0.27026790404482576
Sum,85,159,0.013920504289966731,0.28418840833479253
Sum,86,168,0.014708457362983715,0.29889686569777624
Sum,87,167,0.014620907021537384,0.3135177727193136
Sum,88,168,0.014708457362983715,0.32822623008229734
Sum,89,167,0.014620907021537384,0.3428471371038347
Sum,90,163,0.014270705655752057,0.35711784275958675
Sum,91,171,0.01497110838732271,0.3720889511469095
Sum,92,161,0.014095604972859395,0.3861845561197689
Sum,93,179,0.015671511118893363,0.40185606723866224
Sum,94,183,0.01602171248467869,0.41787777972334095
Sum,95,181,0.015846611801786026,0.43372439152512693
Sum,96,177,0.015496410436000701,0.4492208019611276
Sum,97,199,0.017422517947819998,0.46664331990894764
Sum,98,174,0.015233759411661706,0.48187707932060936
Sum,99,211,0.018473122045175976,0.5003502013657853
Sum,100,185,0.016196813167571354,0.5165470145333567
Sum,101,177,0.015496410436000701,0.5320434249693574
Sum,102,170,0.014883558045876379,0.5469269830152338
Sum,103,155,0.013570302924181404,0.5604972859394152
Sum,104,192,0.016809665557695676,0.5773069514971109
Sum,105,187,0.016371913850464017,0.5936788653475749
Sum,106,168,0.014708457362983715,0.6083873227105586
Sum,107,179,0.015671511118893363,0.6240588338294519
Sum,108,165,0.01444580633864472,0.6385046401680966
Sum,109,188,0.01645946419191035,0.654964104360007
Sum,110,177,0.015496410436000701,0.6704605147960077
Sum,111,187,0.016371913850464017,0.6868324286464718
Sum,112,169,0.014796007704430047,0.7016284363509018
Sum,113,182,0.015934162143232358,0.7175625984941342
Sum,114,161,0.014095604972859395,0.7316582034669935
Sum,115,147,0.01286990019261075,0.7445281036596043
Sum,116,132,0.011556645070915776,0.75608474873052
Sum,117,131,0.011469094729469446,0.7675538434599894
Sum,118,124,0.010856242339345124,0.7784100857993346
Sum,119,140,0.01225704780248643,0.7906671336018211
Sum,120,123,0.010768691997898792,0.8014358255997198
Sum,121,128,0.01120644370513045,0.8126422693048503
Sum,122,133,0.011644195412362108,0.8242864647172125
Sum,123,119,0.010418490632113465,0.8347049553493259
Sum,124,114,0.009980738924881808,0.8446856942742077
Sum,125,110,0.00963053755909648,0.8543162318333042
Sum,126,113,0.009893188583435476,0.8642094204167396
Sum,127,83,0.007266678340045526,0.8714760987567851
Sum,128,98,0.008579933461740501,0.8800560322185257
Sum,129,111,0.009718087900542812,0.8897741201190684
Sum,130,86,0.007529329364384521,0.897303449483453
Sum,131,87,0.007616879705830853,0.9049203291892839
Sum,132,84,0.007354228681491858,0.9122745578707757
Sum,133,78,0.006828926632813868,0.9191034845035896
Sum,134,66,0.005778322535457888,0.9248818070390474
Sum,135,66,0.005778322535457888,0.9306601295745054
Sum,136,67,0.00586587287690422,0.9365260024514096
Sum,137,50,0.0043775170723165824,0.9409035195237262
Sum,138,50,0.0043775170723165824,0.9452810365960427
Sum,139,43,0.0037646646821922606,0.949045701278235
Sum,140,49,0.004289966730870251,0.9533356680091052
Sum,141,46,0.0040273157065312554,0.9573629837156364
Sum,142,46,0.0040273157065312554,0.9613902994221677
Sum,143,39,0.003414463316406934,0.9648047627385746
Sum,144,41,0.003589563999299597,0.9683943267378743
Sum,145,32,0.0028016109262826126,0.9711959376641569
Sum,146,27,0.0023638592190509543,0.9735597968832078
Sum,147,29,0.0025389599019436174,0.9760987567851515
Sum,148,26,0.0022763088776046225,0.9783750656627561
Sum,149,24,0.0021012081947119595,0.980476273857468
Sum,150,26,0.0022763088776046225,0.9827525827350727
Sum,151,25,0.0021887585361582912,0.984941341271231
Sum,152,20,0.001751006828926633,0.9866923481001576
Sum,153,14,0.001225704780248643,0.9879180528804062
Sum,154,22,0.0019261075118192962,0.9898441603922256
Sum,155,12,0.0010506040973559797,0.9908947644895815
Sum,156,11,0.0009630537559096481,0.9918578182454911
Sum,157,5,0.0004377517072316582,0.9922955699527228
Sum,158,15,0.0013132551216949746,0.9936088250744178
Sum,159,14,0.001225704780248643,0.9948345298546665
Sum,160,10,0.0008755034144633164,0.9957100332691298
Sum,161,5,0.0004377517072316582,0.9961477849763614
Sum,162,8,0.0007004027315706532,0.996848187707932
Sum,163,9,0.0007879530730169848,0.9976361407809491
Sum,164,6,0.0005253020486779899,0.998161442829627
Sum,165,3,0.00026265102433899493,0.998424093853966
Sum,166,3,0.00026265102433899493,0.998686744878305
Sum,167,6,0.0005253020486779899,0.9992120469269831
Sum,168,2,0.0001751006828926633,0.9993871476098757
Sum,169,5,0.0004377517072316582,0.9998248993171074
Sum,171,1,8.755034144633164e-05,0.9999124496585536
Sum,175,1,8.755034144633164e-05,1.0
